chr1	11869	14409	GC.chr1_11869_14409_+	0	+	pseudogene	DDX11L1	ENSG00000223972.4	ENST00000456328.2
chr1	12010	13670	GC.chr1_12010_13670_+	0	+	pseudogene	DDX11L1	ENSG00000223972.4	ENST00000450305.2
chr1	12982	13670	ENSG00000013573	0	+	GERST_PG	N	PGOHUM00000244550	PGOHUM00000244550
chr1	29554	31097	GC.chr1_29554_31097_+	0	+	lincRNA	MIR1302-11	ENSG00000243485.2	ENST00000473358.1
chr1	30267	31109	GC.chr1_30267_31109_+	0	+	lincRNA	MIR1302-11	ENSG00000243485.2	ENST00000469289.1
chr1	52473	53312	GC.chr1_52473_53312_+	0	+	pseudogene	OR4G4P	ENSG00000268020.2	ENST00000606857.1
chr1	62948	63887	GC.chr1_62948_63887_+	0	+	pseudogene	OR4G11P	ENSG00000240361.1	ENST00000492842.1
chr1	69091	70008	GC.chr1_69091_70008_+	0	+	protein_coding	OR4F5	ENSG00000186092.4	ENST00000335137.3
chr1	131025	134836	GC.chr1_131025_134836_+	0	+	pseudogene	CICP27	ENSG00000233750.3	ENST00000442987.3
chr1	160446	161525	GC.chr1_160446_161525_+	0	+	lincRNA	RP11-34P13.9	ENSG00000241599.1	ENST00000496488.1
chr1	317720	324873	GC.chr1_317720_324873_+	0	+	lincRNA	RP4-669L17.10	ENSG00000237094.6	ENST00000440038.2
chr1	320162	321056	GC.chr1_320162_321056_+	0	+	lincRNA	RP4-669L17.10	ENSG00000237094.6	ENST00000432964.1
chr1	320162	324461	GC.chr1_320162_324461_+	0	+	lincRNA	RP4-669L17.10	ENSG00000237094.6	ENST00000423728.1
chr1	320335	322097	GC.chr1_320335_322097_+	0	+	lincRNA	RP4-669L17.10	ENSG00000237094.6	ENST00000601486.1
chr1	320881	322203	GC.chr1_320881_322203_+	0	+	lincRNA	RP4-669L17.10	ENSG00000237094.6	ENST00000599771.2
chr1	322078	342806	GC.chr1_322078_342806_+	0	+	lincRNA	RP4-669L17.10	ENSG00000237094.6	ENST00000455464.2
chr1	322672	324955	GC.chr1_322672_324955_+	0	+	lincRNA	RP4-669L17.10	ENSG00000237094.6	ENST00000419160.3
chr1	323861	334505	GC.chr1_323861_334505_+	0	+	lincRNA	RP4-669L17.10	ENSG00000237094.6	ENST00000601814.1
chr1	326096	328112	GC.chr1_326096_328112_+	0	+	pseudogene	RP4-669L17.8	ENSG00000250575.1	ENST00000514436.1
chr1	329784	334271	GC.chr1_329784_334271_+	0	+	lincRNA	RP4-669L17.10	ENSG00000237094.6	ENST00000431812.1
chr1	334126	334305	GC.chr1_334126_334305_+	0	+	pseudogene	RP4-669L17.4	ENSG00000224813.2	ENST00000445840.1
chr1	334129	446155	GC.chr1_334129_446155_+	0	+	lincRNA	RP4-669L17.10	ENSG00000237094.6	ENST00000455207.1
chr1	334156	342504	ENSG00000250210	0	+	GERST_PG	N	PGOHUM00000259543	PGOHUM00000259543
